0	39.14	26.32
1	86.72	65.56
2	25.76	73.24
3	53.03	21.76
4	4.16	80.07
5	100.28	96.07
6	101.85	1.98
7	32.29	114.41
8	42.58	44.74
9	9.69	113.02
10	117.10	80.08
11	83.26	90.55
12	28.35	58.91
13	32.23	77.33
14	26.59	36.63
15	36.33	10.21
16	92.44	106.72
17	99.47	105.56
18	111.70	94.63
19	75.95	0.11
20	15.67	13.41
21	26.68	41.31
22	54.30	105.68
23	13.44	113.47
24	46.74	33.88
25	54.97	70.91
26	23.54	115.68
27	10.90	28.41
28	117.94	25.15
29	35.99	57.57
30	93.13	32.45
31	84.74	49.83
32	19.90	79.42
33	79.31	70.30
34	19.65	47.31
35	42.58	36.26
36	51.66	72.64
37	0.20	106.44
38	27.60	45.03
39	49.90	53.74
40	13.93	98.15
41	66.87	54.56
42	60.69	87.78
43	109.33	42.96
44	116.89	7.28
45	106.64	85.37
46	37.99	20.68
47	94.61	94.25
48	20.59	57.85
49	29.07	54.34
50	31.70	33.50
51	57.99	25.01
52	17.29	83.27
53	26.57	65.11
54	74.80	75.27
55	46.63	64.01
56	118.77	14.24
57	62.87	53.10
58	56.36	8.35
59	13.33	36.52
60	41.65	54.53
61	89.92	118.27
62	72.54	18.95
63	77.20	114.61
64	113.64	42.72
65	63.66	6.57
66	71.29	110.53
67	99.60	106.92
68	33.58	81.58
69	59.07	8.99
70	58.61	56.98
71	90.95	51.93
72	8.49	106.76
73	95.01	57.65
74	4.49	22.33
75	113.76	109.11
76	60.36	56.53
77	29.39	68.06
78	56.36	43.48
79	57.47	52.07
80	45.74	54.36
81	34.99	46.74
82	50.41	18.03
83	81.14	45.92
84	36.51	73.52
85	82.46	108.18
86	24.59	117.67
87	17.15	42.37
88	119.31	57.60
89	35.20	44.17
90	98.45	19.78
91	114.24	111.56
92	110.25	36.74
93	58.36	76.17
94	113.44	14.72
95	63.31	8.85
96	41.15	18.66
97	51.13	9.11
98	49.49	51.11
99	3.76	49.40
100	115.34	73.97
